ロンパリ	walleyes (from London-Paris, i.e. "One eye looks at London, one eye looks at Paris")
きんびょうぶ	folding screen covered with gold leaf
アルコールぶん	alcoholic content
はため	outsider's perspective
おめみえ	audience (with a lord, dignitary, etc.)
がいぶ	outside (e.g. of a building)
つぎたし	addition
おそれいる	to be sorry
つきへん	kanji "moon" radical at left (usually classified as radical 130)
こわたり	old imported article (esp. a precious item imported during or before the Muromachi period)
ハッシュドビーフ	hashed beef
カクタスペア	fruit of a cactus in genus Opuntia (incl. prickly pears and cholla)
さんぎょうくみあい	industrial association
こくさいじょうやく	international treaty
プロッター	plotter
アドバイス	advice
インディゴ	indigo (dye)
どっこいしょ	heigh-ho
たかり	extortion
いにょう	enuresis
きかいせんばん	very strange (mysterious, weird)
ぎんがせきどう	galactic equator
さいしゅつ	annual expenditure
くちぢゃ	adding more tea
こくさいほうそう	international broadcast(ing)
ぶっつづけ	continuously
きみん	starving people
プライマリー	primary
とおめがね	spectacles for far-sightedness
ひたはしる	to run at full speed
かけのぼる	to run (up hill, stairs, etc.)
ラズベリー	raspberry
サブリミナルアド	subliminal advertisement
サンフォライズ	Sanforized
すぼめる	to make narrower
みかえる	to look back
スペクトロメーター	spectrometer
スケッチ	sketch
きおう	to get worked up
いまわのきわ	verge of death
チェーンブロック	chain block
いっかかんすう	single-valued function
ジョイスト	joist
けいてい	great difference
みば	appearance
きおくそうしつ	loss of memory
あったら	alas
くりつ	established by a ward
きょうもの	Kyoto products
けいざいせいさく	economic policy
だてじめ	small, thin fabric belt worn over the kimono and under the obi in order to protect the fabric
アミ	opossum shrimp (Mysida spp.)
みずうみ	lake (in place names)
えいようがく	dietetics
むこうき	aggressiveness
エンタブレチュア	entablature
ごしょうだいじ	with religious zeal
じわじわ	slowly (but steadily)
こんぽう	packing
サマーストック	summer stock
ゼリー	jello
がいこくぜいがくこうじょ	foreign tax amount reduction
ジャケット	jacket
いいきかせる	to tell
がいこくかわせしじょう	foreign exchange market
みあやまる	to mistake (for something or someone else)
きかんすう	odd function
ダウンしょうこうぐん	Down's syndrome
サッサフラス	sassafras (Sassafras albidum)
エッチ	H
アセトアニリド	acetanilide
サンボ	self-defence (defense) (type of wrestling)
アザレア	azalea
えまどう	shrine building where votive picture tablets are hung
ぎんぱい	silver medal
いんがりつ	law of cause and effect
およびごし	bent back
さしゆ	(addition of) hot water
ナイトロジェンマスタード	nitrogen mustard (chemical compound related to mustard gas, used as a chemical weapon or an anticarcinogen)
かくのう	storage
かくやす	(very) cheap
プロテスト	protest
つきばらい	paying in monthly installments (instalments)
こくみんしょとく	national income
よい	good
けいしきしゅぎ	formalism
きゃくまち	waiting for customers
げんぶつきゅうよ	salary paid in kind
さげよく	wing flap
パッションフルーツ	passionfruit (Passiflora edulis)
ぴんさつ	crisp, unwrinkled banknote
くらいどり	grade
パースペクティブ	perspective
かりしっこう	provisional execution
スピードメーター	speedometer
ぐいぐい	without hesitation
シュプール	trace (e.g. from skis)
いっぽうてき	one-sided
こくさいしゅぎ	internationalism
こぶん	henchman
いましがた	a moment ago
アリッサム	alyssum
きょうち	state (of mind)
けいず	family tree
のます	to make (someone) drink
げつめん	moon's surface
シタール	sitar
スイング	swing (of a golf club, tennis racket, etc.)
みこみちがい	miscalculation
もみじいちご	Rubus palmatus var. coptophyllus (specific variety of raspberry)
かけぬける	to run through (a crowd, gate, etc.)
プロセス	process
きょうきゅうしゃ	supplier
さいとうひょう	revoting
ベータほうかい	beta decay
こうこくとう	billboard
げっぽう	monthly report
かつらむき	rotary cutting
こうか	gelatinization
さんぼん	fine high-grade Japanese refined sugar
ヘアドライヤー	hair dryer
おきあがる	to rise
ナトリウムとう	sodium-vapor lamp
ざいしゃ	being in the office
ばったり	with a clash
ナショナリズム	nationalism
ひけどき	closing time
がいぶきせい	ectoparasitism
カピバラ	capybara
こやすかんのん	guardian Avalokitesvara of children and childbirth (bodhisattva)
パワーショベル	power shovel
のみぐすり	oral medicine
スピードダウン	slowing down
サイドスロー	sidearm throw
あねぶん	someone who one considers as an elder sister
スポーティー	sporty (esp. garments, accessories, etc.)
きゅうみん	poor people
ソーイング	sewing
かへんピッチプロペラ	variable pitch propeller
ほとほと	quite
げんば	actual spot
そとむき	facing outward
ぎんメダル	silver medal
ぐんし	war materiel
むれつどう	to crowd together
けっこん	bloodstain
いんせきやく	rubefacient (substance that causes redness of skin)
ぐんようきん	war funds
ナウい	modern
バックドロップ	belly-to-back suplex (pro wrestling move)
けずりくず	shavings
えんしゅつか	producer
ぐんかんどり	frigate (bird) (Fregata spp.)
かなり	considerably
イヒチオール	Ichthyol
かぐわしい	sweet-smelling
つやだね	love affair
かせい	tyranny
ジャッジランプ	judge lamp
チャイム	chime
こんしゅご	hybrid term combining elements drawn from different languages
ヨークシャープディング	Yorkshire pudding
ソフィスティケーション	sophistication
ゼロサムゲーム	zero-sum game
よりあつまる	to gather together
くなん	suffering
おんそたいけい	phonemic system
こっそうがく	phrenology
ぎんがざひょう	galactic coordinates
かいまく	raising the curtain
こくないしじょう	domestic market
かたやま	highest part of the shoulder (of clothing)
カットアンドペースト	cut and paste
みはらしだい	lookout platform
さいまき	kuruma prawn (esp. a small one, i.e. less than 10 cm in length)
いまめがし	ubame oak (Quercus phillyraeoides)
ラタン	rattan
ユニバーサルサービス	universal service
ダブる	to be duplicated
フィールディング	fielding (practice)
ブロークンイングリッシュ	broken English
ひとにぎり	handful
こくせんべんごにん	court-appointed attorney
パラリンピック	Paralympics
がいめん	outer surface
すけこまし	lady-killer
ストロフルス	strophulus
みおくりにん	someone who has come to say farewell
バットレス	buttress
ブイヨン	bouillon
しらっと	dully
さいしんせいきゅう	petition for retrial
いまさら	now (when it is already much too late)
こぼれる	to be chipped
ざんせい	the remainder of one's life
チャボひば	Chamaecyparis obtusa var. breviramea (ornamental variety of hinoki cypress)
きんだい	present day
みまいひん	goods offered to a person in distress
アクションペインティング	action painting
こうこつかん	man of principle
ぱかぱか	clip-clop
いっせいいちげん	the practice of assigning one era name to one emperor
げんすん	actual size
ソーラーカー	solar car
ソフトローン	soft loan
フューズ	fuse
かなとこぐも	anvil cloud
アーバンプランナー	urban planner
パラレルターン	parallel turn
したっぱ	underling
しまいご	sister language
けしょうしつ	toilet
リバースロール	reverse roll
パンパス	(the) Pampas
おきなおる	to sit up
あめがち	rainy
ベンツ	(Mercedes) Benz
アセテート	acetate
カプチーノ	cappuccino
ピカタ	piccata
かとげんしょう	transient
パーキングメーター	parking meter
きんゆうしさん	financial asset
すわりずもう	wrestling performed in a sitting position
プリンター	printer
こくじょう	conditions of a country
きょくがく	inferior scholarship
おんみつ	secret
ひとつかみ	handful
バッティングオーダー	batting order
パントマイム	mime
プレビュー	preview
いせんじょう	stomach pumping
ゼロエミッション	zero-emission
あざとい	calculating
きつね	fox (esp. the red fox, Vulpes vulpes)
チェダー	cheddar
きかへいきん	geometric mean
ロハ	free
かちり	with a clink (click, clack)
ぎっちょ	left-handed
ブラウンかん	cathode-ray tube
うらわ	coastal indentations
ジンフィーズ	gin fizz
かいせんこうかん	circuit switching
エース	ace
ブラ	bra
いしょくどうげん	a balanced diet leads to a healthy body
かていそうぎ	domestic dispute
えいぞく	permanence
